nome,sigla,municipio,uf,endereco_completo,cnpj,tipo,fonte
Itaperuna - Matriz,MTZ,Itaperuna,RJ,"Estrada Feijão Queimado, S/N, 1º Distrito, Zona Rural, Itaperuna, RJ, 28300-000",07.015.016/0001-17,usina,CS art 3
Contagem,CTG,Contagem,MG,"Rua Simão Antônio, 142, Cincão, Contagem, MG, 32371-610",07.015.016/0003-89,usina,CS filial 1
Rio das Ostras,ROS,Rio das Ostras,RJ,"Estrada do Cantagalo, 6, Califórnia, Rio das Ostras, RJ, 28890-000",07.015.016/0004-60,usina,CS filial 2
Duque de Caxias,CAX,Duque de Caxias,RJ,"Rua São Jorge, Quadra 80 Lote 24, Parque Duque, Duque de Caxias, RJ, 25086-110",07.015.016/0005-40,usina,CS filial 3
São Gonçalo,SGO,São Gonçalo,RJ,"Avenida Presidente Roosevelt, 1520, Vista Alegre, São Gonçalo, RJ, 24722-070",07.015.016/0007-02,usina,CS filial 4
Cantagalo,CAN,Cantagalo,RJ,"Fazenda D'Aldeia S/N, 1º Distrito, Cantagalo, RJ, 28500-000",07.015.016/0008-93,usina,CS filial 5
Matozinhos,MAT,Matozinhos,MG,"Avenida Caio Martins, 1575, São Pedro, Matozinhos, MG, 35720-000",07.015.016/0009-74,usina,CS filial 6
São Pedro da Aldeia,SPE,São Pedro da Aldeia,RJ,"Rodovia Amaral Peixoto, Km 114 Lote 6, Praia da Aldeia, São Pedro da Aldeia, RJ, 28940-000",07.015.016/0010-08,usina,CS filial 7
Serra (Nova Carapina),SER,Serra,ES,"Rodovia BR-101 Norte, S/N Km 260, Nova Carapina I, Serra, ES, 29170-022",07.015.016/0011-99,usina,CS filial 8
Macaé,MAC,Macaé,RJ,"Estrada Macaé-Carapebus, 03, Cabiúnas, Macaé, RJ, 27910-000",07.015.016/0012-70,usina,CS filial 9
Guarulhos,GRL,Guarulhos,SP,"Rua Lindomar Gomes de Oliveira, 1241, Nova Cumbica, Guarulhos, SP, 07232-150",07.015.016/0014-31,usina,CS filial 10
Taquara,JAC,Rio de Janeiro,RJ,"Estrada da Ligação, 1397, Taquara, Rio de Janeiro, RJ, 22713-470",07.015.016/0015-12,usina,CS filial 11
Bangu (Usina),BAN,Rio de Janeiro,RJ,"Rua Usina, 13, Bangu, Rio de Janeiro, RJ, 21815-180",07.015.016/0016-01,usina,CS filial 12
Belford Roxo,BRX,Belford Roxo,RJ,"Rua Cardoso Martins, 483, Boa Esperança, Belford Roxo, RJ, 26113-000",07.015.016/0017-84,usina,CS filial 13
Juatuba,JUA,Juatuba,MG,"Rodovia BR-262, KM 366 S/N, Francelinos, Juatuba, MG, 35675-000",07.015.016/0018-65,usina,CS filial 14
Bangu (Britagem+Concreto),BAN-B,Rio de Janeiro,RJ,"Rua da Usina, 13 Parte, Bangu, Rio de Janeiro, RJ, 21815-180",07.015.016/0019-46,usina,CS filial 15
Tanguá,TAN,Tanguá,RJ,"Rodovia BR-101, Km 277 nº 4, Duques, Tanguá, RJ, 24890-000",07.015.016/0020-80,usina,CS filial 16
Valença,VAL,Valença,RJ,"Estrada Valença-Barra do Piraí S/N, Viratabua, Valença, RJ, 27600-000",07.015.016/0021-60,usina,CS filial 17
Vespasiano,VES,Vespasiano,MG,"Rodovia MG-424, 400 KM 3.5, Santa Cruz, Vespasiano, MG, 33200-000",07.015.016/0022-41,usina,CS filial 18
Bom Jesus do Itabapoana,BJE,Bom Jesus do Itabapoana,RJ,"Rodovia RJ-186, S/N Km 5, 1º Distrito, Bom Jesus do Itabapoana, RJ, 28360-000",07.015.016/0026-75,usina,CS filial 20
Italva,ITV,Italva,RJ,"Rua José Luiz Marinho, 230, Centro, Italva, RJ, 28250-000",07.015.016/0027-56,usina,CS filial 21
Paraíba do Sul,PSU,Paraíba do Sul,RJ,"Rodovia BR-393, Km 178/179, Barão de Angra, Paraíba do Sul, RJ, 25850-000",07.015.016/0028-37,usina,CS filial 22
Santo Antônio de Pádua,PAD,Santo Antônio de Pádua,RJ,"Estrada RJ-116 Pádua-Aperibé, Km 5, Baltazar, Santo Antônio de Pádua, RJ, 28470-000",07.015.016/0029-18,usina,CS filial 23
Barra do Piraí,BPI,Barra do Piraí,RJ,"Estrada Barra do Piraí-Ipiabas, 404, Barra do Piraí, RJ, 27137-000",07.015.016/0030-51,usina,CS filial 24
Itaperuna,ITA,Itaperuna,RJ,"Rodovia BR-356, Km 29, Itaperuna, RJ, 28300-000",07.015.016/0031-32,usina,CS filial 25
Carangola,CGL,Carangola,MG,"Avenida Capitão Antônio Carlos de Souza, 1451, Santa Maria, Carangola, MG, 36800-000",07.015.016/0032-13,usina,CS filial 26
Muriaé,MUR,Muriaé,MG,"Avenida Rio Bahia, 1780 Km 711, Santa Helena, Muriaé, MG, 36880-000",07.015.016/0033-02,usina,CS filial 27
Guaçuí,GUA,Guaçuí,ES,"Rodovia BR-482, Km 96.5 nº 4455, Guaçuí, ES, 29560-000",07.015.016/0034-85,usina,CS filial 28
Volta Redonda (Exploração),VRE-X,Volta Redonda,RJ,"Estrada Volta Redonda-Amparo RJ-153, Km 7, Sítio São Carlos, Santa Cruz II, Volta Redonda, RJ, 27255-971",07.015.016/0035-66,pedreira,CS filial 29 (britamento próprio)
Volta Redonda (Concreteira),VRE,Volta Redonda,RJ,"Estrada Volta Redonda-Amparo RJ-153, Km 7 Parte, Sítio São Carlos, Santa Cruz II, Volta Redonda, RJ, 27255-971",07.015.016/0036-47,usina,CS filial 30
Itaboraí,ITB,Itaboraí,RJ,"Estrada da Serrinha S/N, São José Cabuçu, 6º Distrito, Itaboraí, RJ, 24852-664",07.015.016/0037-28,pedreira,CS filial 31 (britamento próprio)
Pouso Alto,PAL,Pouso Alto,MG,"Rodovia BR-354, 333, Santana do Capivari, Pouso Alto, MG, 37469-000",07.015.016/0038-09,usina,CS filial 32
Chácara Rio-Petrópolis,CRP,Duque de Caxias,RJ,"Estrada Velha do Pilar S/N, Lote 5A Quadra 17, Chácaras Rio-Petrópolis, Duque de Caxias, RJ, 25243-260",07.015.016/0039-90,usina,CS filial 33
Congonhas,CGN,Congonhas,MG,"Rodovia BR-040 S/N Km 602, Campo das Flores, Congonhas, MG, 36415-000",07.015.016/0040-23,usina,CS filial 34
Reduto,RED,Reduto,MG,"Fazenda Roça Grande, 8 Parte, Zona Rural, Reduto, MG, 36920-000",07.015.016/0041-04,usina,CS filial 35
Santa Luzia,SLZ,Santa Luzia,MG,"Avenida Beira-Rio, 6170 Lado B, Distrito Industrial Deputado Simão da Cunha, Santa Luzia, MG, 33040-260",07.015.016/0042-95,usina,CS filial 36
Juiz de Fora,JUF,Juiz de Fora,MG,"Rua Vera Lucia Barros de Paula, 15, Distrito Industrial, Juiz de Fora, MG, 36092-006",07.015.016/0043-76,usina,CS filial 37
Conselheiro Lafaiete,LAF,Conselheiro Lafaiete,MG,"Rodovia BR-040, 22600, Barreira, Conselheiro Lafaiete, MG, 36400-000",07.015.016/0044-57,usina,CS filial 38
Itaquera,ITQ,São Paulo,SP,"Rua Zituo Karasawa, 181 Parte Lote 182A, Colônia Vila Carmosina, São Paulo, SP, 08260-120",07.015.016/0045-38,usina,CS filial 39
Nova Contagem (Contagem 2),CON,Contagem,MG,"Rodovia BR-040, KM 522/523 S/N, Morada Nova Fazenda do Cabral e Confisco, Contagem, MG, 32145-480",07.015.016/0047-08,usina,CS filial 40
Vila Velha (Nova),VIV,Vila Velha,ES,"Rodovia do Sol S/N, Barra do Jucu, Vila Velha, ES, 29125-033",07.015.016/0048-80,usina,CS filial 41
Resende,RES,Resende,RJ,"Avenida Jefferson Geraldo Bruno, 1240, Paraíso, Resende, RJ, 27536-015",07.015.016/0049-61,usina,CS filial 42
Santa Cruz,SCZ,Rio de Janeiro,RJ,"Rua Desembargador Eugênio de Vasconcelos Sigaud S/N, Lote 25 Quadra I, Santa Cruz, Rio de Janeiro, RJ, 23575-336",07.015.016/0050-03,usina,CS filial 43
Poá,POA,Poá,SP,"Rodovia João Afonso de Souza Castellano, 981, Vila Varela, Poá, SP, 08558-400",07.015.016/0051-86,usina,CS filial 44
Diadema,DIA,Diadema,SP,"Avenida Casa Grande, 1059, Diadema, SP, 09961-350",07.015.016/0052-67,usina,CS filial 45
Jacareí,JCR,Jacareí,SP,"Avenida Getúlio Vargas, 2781, Jardim Califórnia, Jacareí, SP, 12305-010",07.015.016/0053-48,usina,CS filial 46
Guaratinguetá,GRT,Guaratinguetá,SP,"Rua 03, 400 Lotes 08-09-10, Chácaras Santa Maria II, Guaratinguetá, SP, 12500-970",07.015.016/0055-00,usina,CS filial 47
Gardênia Azul,GAR,Rio de Janeiro,RJ,"Avenida das Lagoas, 1199, Gardênia Azul, Rio de Janeiro, RJ, 22765-455",07.015.016/0056-90,usina,CS filial 48
Ubá,UBA,Ubá,MG,"Estrada Ubá-Guidoval, 5295, Eixo Rodoviário, Ubá, MG, 36508-970",07.015.016/0057-71,usina,CS filial 49
Ipatinga,IPA,Ipatinga,MG,"Avenida Quebra-Pedra, 867 Área C Parte, Chácaras Madalena, Ipatinga, MG, 35162-879",07.015.016/0058-52,usina,CS filial 50
Saquarema,SAQ,Saquarema,RJ,"Rodovia Amaral Peixoto S/N Km 54, Lote 5 Quadra I, Sampaio Correa 3º Distrito, Saquarema, RJ, 28997-000",07.015.016/0060-77,usina,CS filial 51
Nova Friburgo,FRI,Nova Friburgo,RJ,"Estrada Coronel Heber Alves da Costa, 04573 Área C Lote 3188, Chácara Paraíso, Nova Friburgo, RJ, 28605-610",07.015.016/0061-58,usina,CS filial 52
Pará de Minas,PMI,Pará de Minas,MG,"Rua Alameda do Angelim, 535, Jardim das Piteiras II, Pará de Minas, MG, 35661-427",07.015.016/0062-39,usina,CS filial 53
Ibatiba,IBA,Ibatiba,ES,"Rodovia BR-262, S/N KM 157, Zona Rural, Ibatiba, ES, 29395-000",07.015.016/0063-10,usina,CS filial 54
Campos dos Goytacazes (CMP),CMP,Campos dos Goytacazes,RJ,"Rodovia RJ-216 Estrada Dr. Lourival Martins Beda, S/N KM 13 Gleba 06, Campos dos Goytacazes, RJ, 28110-000",07.015.016/0064-09,usina,CS filial 55
Caieiras,CAI,Caieiras,SP,"Rodovia dos Bandeirantes, S/N KM 30, Calcárea, Caieiras, SP, 07721-000",07.015.016/0065-81,usina,CS filial 56
São João da Barra,SJB,São João da Barra,RJ,"Rodovia RJ-240 S/N, 5º Distrito Campo da Praia, São João da Barra, RJ, 28200-000",07.015.016/0066-62,usina,CS filial 57
Simões Filho,SAL,Simões Filho,BA,"Estrada Velha Bahia-Feira S/N Km 15, Santo Antônio do Rio das Pedras, Simões Filho, BA, 43700-000",07.015.016/0067-43,usina,CS filial 58
Lençóis Paulista,LEP,Lençóis Paulista,SP,"Rua Oceania, 180 Quadra B Lote 02, Distrito Empresarial Luiz Trecenti, Lençóis Paulista, SP, 18685-770",07.015.016/0068-24,usina,CS filial 59
Maricá,MCA,Maricá,RJ,"Rodovia Ernani do Amaral Peixoto, 26863 Quadra Área Lote 1A, Itapeba, Maricá, RJ, 24900-000",07.015.016/0070-49,usina,CS filial 60
Bauru,BAU,Bauru,SP,"Rua Armando Lambertini, 2-120, Distrito Industrial Marcus Vinícius Feliz Machado, Bauru, SP, 17039-720",07.015.016/0071-20,usina,CS filial 61
Serra (Jacuhy),SER2,Serra,ES,"Rua Piraju S/N Quadra 11 Lotes B06-B07, Jacuhy, Serra, ES, 29161-242",07.015.016/0072-00,usina,CS filial 62
Araruama,ARA,Araruama,RJ,"Rua Projetada paralela RJ-51 S/N Lote 007b, Itatiquara, Araruama, RJ, 28970-000",07.015.016/0073-91,usina,CS filial 63
Londrina,LON,Londrina,PR,"Rua das Corruíras, 255 QD 3 Lote 1-4, Indústrias Leves, Londrina, PR, 86030-310",07.015.016/0074-72,usina,CS filial 64
Maringá,MGA,Maringá,PR,"Rua Pioneiro Carlos Burian, 309 Quadra 5 Lote 3, Parque Industrial, Maringá, PR, 87065-190",07.015.016/0075-53,usina,CS filial 65
São Gonçalo II,SGO2,São Gonçalo,RJ,"Avenida Carmela Dutra, 819, Santa Luzia, São Gonçalo, RJ, 24722-495",07.015.016/0076-34,usina,CS filial 66
Feira de Santana,FSA,Feira de Santana,BA,"Rodovia BR-116 Norte, Km 07 Lote 24c, Distrito de Maria Quitéria, Feira de Santana, BA, 44110-000",07.015.016/0078-04,usina,CS filial 67
Itaquaquecetuba,IQQ,Itaquaquecetuba,SP,"Estrada Alberto Hinoto, 7500 Gleba 01, Jardim Nascente, Itaquaquecetuba, SP, 08586-415",07.015.016/0079-87,usina,Ata 11-12-2025 (endereço atualizado)
Resende II,RSD,Resende,RJ,"Avenida Augusto de Carvalho S/N, Parque Ipiranga, Resende, RJ, 27516-240",07.015.016/0080-10,usina,CS filial 69
Sete Lagoas,SET,Sete Lagoas,MG,"Avenida Vicente Lopes da Rocha, 31, CDI, Sete Lagoas, MG, 35701-616",07.015.016/0082-82,usina,CS filial 70
Juiz de Fora II,JFO,Juiz de Fora,MG,"Estrada União Indústria, 187 KM Área D, Granjas Bethel, Juiz de Fora, MG, 36073-120",07.015.016/0083-63,usina,CS filial 71
São Lourenço,SLO,São Lourenço,MG,"Rua Projetada, 80, Nossa Senhora de Fátima, São Lourenço, MG, 37470-000",07.015.016/0084-44,usina,CS filial 72
Betim,BET,Betim,MG,"Avenida do Brasil, 1047, Jardim Casa Branca, Betim, MG, 32656-565",07.015.016/0085-25,usina,CS filial 73
Belo Horizonte (Pilar),BHE,Belo Horizonte,MG,"Rua São Pedro da Aldeia, 1230, Pilar, Belo Horizonte, MG, 30390-000",07.015.016/0086-06,usina,CS filial 74
Cachoeiras de Macacu,MCU,Cachoeiras de Macacu,RJ,"Rodovia RJ-116 S/N Quadra 17 Lote Área A, Agro Brasil, Cachoeiras de Macacu, RJ, 28685-000",07.015.016/0088-78,usina,CS filial 75
Cariacica,CAR,Cariacica,ES,"Rua Santa Leopoldina, 2948-3052, Cangaíba, Cariacica, ES, 29158-814",07.015.016/0087-97,usina,CS filial 76
São José dos Campos,SJC,São José dos Campos,SP,"Rua Adolpho Goll, 431, Jardim Juliana, São José dos Campos, SP, 12236-842",07.015.016/0089-59,usina,CS filial 77
São João do Manhuaçu,SJM,São João do Manhuaçu,MG,"Rodovia BR-116 S/N Parte, Zona Rural, São João do Manhuaçu, MG, 36918-000",07.015.016/0090-92,usina,CS filial 78
Divinópolis,DIV,Divinópolis,MG,"Rua Antônio Martins Guimarães, S/N, Distrito Industrial Coronel Jovelina Rabelo, Divinópolis, MG, 35502-285",07.015.016/0091-73,usina,CS filial 79
Ubaporanga,UBP,Ubaporanga,MG,"Fazenda Córrego dos Pios S/N, Zona Rural, Ubaporanga, MG, 35338-000",07.015.016/0093-35,usina,CS filial 81
Camaçari,CMC,Camaçari,BA,"Rua Aquino S/N Lotes 2946-2947-2939-2930, Parque Real Serra Verde, Camaçari, BA, 42813-092",07.015.016/0094-16,usina,CS filial 82
Pará de Minas II,PMI2,Pará de Minas,MG,"Rua Suíça S/N Lote 2 Quadra 3, Park Empresarial 262, Pará de Minas, MG, 35660-970",07.015.016/0095-05,usina,CS filial 83
Barra Mansa,BMS,Barra Mansa,RJ,"Avenida Franz Hassis, 340 Lotes 395C, Jardim Guanabara, Barra Mansa, RJ, 27336-050",07.015.016/0096-88,usina,CS filial 84
Pompeu,POM,Pompeu,MG,"Rua Padre João Porto, S/N Quadra 21 Lote 64, Parque Cidade Jardim, Pompeu, MG, 35640-000",,usina,CS filial 85
Petrópolis,PTR,Petrópolis,RJ,"Rua I, 19, Itaipava, Petrópolis, RJ, 25740-000",,usina,CS filial 86
Ubá (Nova),UBA2,Ubá,MG,"Ubá, MG (endereço a confirmar)",,usina,Ata 11-12-2025 (nova filial)
Pedreira Outeiro (Matriz),OUT,Cardoso Moreira,RJ,"Estrada do Outeiro S/N, Conjunto Fazenda Imburi Bela Vista, próximo à Usina Sapucaia, Outeiro, Cardoso Moreira, RJ, 28180-000",13.891.342/0001-90,pedreira,OUTEIRO CNPJ + 9ª alt
Pedreira Outeiro (Filial Outeiro),OUT2,Cardoso Moreira,RJ,"Estrada do Outeiro S/N Parte, Conjunto Fazenda Imburi Bela Vista, Outeiro, Cardoso Moreira, RJ, 28180-000",13.891.342/0003-52,pedreira,OUTEIRO 9ª alt filial
Pedreira Outeiro (Depósito Campos),OUT-CMP,Campos dos Goytacazes,RJ,"Rodovia BR-101, Km 10 nº 2165 Parte, Trecho Campos-Vitória, 7º Distrito Travessão de Campos, Campos dos Goytacazes, RJ, 28175-000",13.891.342/0002-71,pedreira,OUTEIRO 9ª alt filial (depósito)
Pedreira Bangu,PBG,Rio de Janeiro,RJ,"Rua da Usina, 13, Bangu, Rio de Janeiro, RJ, 21815-180",31.451.131/0001-19,pedreira,BANGU CNPJ
Pedreira Imboassica,PIM,Macaé,RJ,"Rodovia Christino José da Silva Junior RJ-168, S/N Km 15 Vila Iriri, Nova Cidade, Macaé, RJ, 27949-000",28.927.556/0001-47,pedreira,IMBOASSICA CNPJ
IPEPAM (Miracema),IPE,Miracema,RJ,"Estrada Miracema-Pádua S/N, Km 5, Primeiro Distrito, Miracema, RJ, 28460-000",30.527.352/0001-60,pedreira,IPEPAM CNPJ
Apolo (Matriz - Cubatão),APO,Itaperuna,RJ,"Estrada RJ-198, S/N Km 5, Cubatão, 1º Distrito, Itaperuna, RJ, 28300-000",29.644.432/0001-17,pedreira,APOLO CNPJ + 31ª alt matriz
Apolo (Filial - Bom Jesus do Itabapoana),APO-BJ,Bom Jesus do Itabapoana,RJ,"Rodovia RJ-186, S/N Km 05-Parte, 1º Distrito, Bom Jesus do Itabapoana, RJ, 28360-000",29.644.432/0007-02,pedreira,APOLO 31ª alt filial
Apolo (Filial - Italva),APO-IT,Italva,RJ,"Avenida José Luiz Marinho, 230-A, Centro, Italva, RJ, 28250-000",29.644.432/0009-74,pedreira,APOLO 31ª alt filial
Apolo (Filial - Guaçuí ES),APO-GU,Guaçuí,ES,"Rodovia BR-482, Km 97 nº 4500, Guaçuí, ES, 29560-000",29.644.432/0010-08,pedreira,APOLO 31ª alt filial
Apolo (Filial - Itaperuna BR-356),APO-BR,Itaperuna,RJ,"Rodovia BR-356, S/N Km 29 Frente, 1º Distrito, Itaperuna, RJ, 28300-000",29.644.432/0011-99,pedreira,APOLO 31ª alt filial
Apolo (Filial - Rio das Ostras),APO-RO,Rio das Ostras,RJ,"Estrada Califórnia, 6 Parte, Cantagalo, Rio das Ostras, RJ, 28899-853",29.644.432/0014-31,pedreira,APOLO 31ª alt filial
Apolo (Filial 2 - Cubatão),APO-CU,Itaperuna,RJ,"Estrada RJ-198, Km 5 Parte, Cubatão, 1º Distrito, Itaperuna, RJ, 28300-000",29.644.432/0015-12,pedreira,APOLO 31ª alt filial
